CDLABANDONEDBABY,Abandoned Baby
CDLBELTHOLD,Belt-hold
CDLBREAKAWAY,Breakaway
CDLCOUNTERATTACK,Counterattack
CDLDOJISTAR,Doji Star
CDLDRAGONFLYDOJI,Dragonfly Doji
CDLENGULFING,Engulfing Pattern
CDLHARAMICROSS,Harami Cross Pattern
CDLHARAMI,Harami Pattern
CDLKICKING,Kicking
CDLKICKINGBYLENGTH,Kicking - bull/bear determined by the longer marubozu
CDLHIKKAKEMOD,Modified Hikkake Pattern
CDLTAKURI,Takuri (Dragonfly Doji with very long lower shadow)
CDL3INSIDE,Three Inside Up/Down
CDL3OUTSIDE,Three Outside Up/Down
CDLTRISTAR,Tristar Pattern
